Time,Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
0.0000,3.3225,5.7428,1.9671,-0.2139,-0.2520,4.5721,3.4702,-0.2294,4.4675,3.0326,4.7969,0.5182,-0.3694,-0.1209,1.8851,-1.5411,-0.4418,1.7266,-0.4665
3.9062,3.3059,6.2238,3.3847,0.2953,0.5163,4.3677,4.8186,0.1840,3.6637,2.7240,3.3967,-0.4401,-0.2368,0.2714,0.8512,-4.4563,-1.5838,1.5124,-0.3800
7.8125,2.8959,5.9088,4.1392,0.7396,1.3617,3.7903,4.6671,0.6521,2.2529,2.4030,0.8428,-1.8386,-0.4469,0.6658,-0.5959,-6.6884,-2.9235,0.8068,-0.5930
11.7188,1.8575,4.4048,3.5096,0.8454,1.9071,2.7435,1.6966,0.9860,0.5165,2.1631,-1.9220,-3.3433,-1.0703,0.8393,-2.0028,-7.0434,-3.9444,-0.3726,-1.1643
15.6250,0.2424,1.8306,1.4892,0.4799,1.8360,1.2798,-3.8071,1.0293,-1.0939,1.9860,-3.6924,-4.4921,-1.9455,0.6269,-2.8720,-5.3126,-4.2128,-1.7346,-1.9827
19.5312,-1.5253,-1.1613,-1.1021,-0.2604,1.0458,-0.3687,-9.6121,0.7391,-2.2064,1.7184,-3.7937,-4.8936,-2.7371,0.0082,-2.9440,-2.4457,-3.6264,-2.8161,-2.8197
23.4375,-2.8139,-3.6800,-3.0423,-1.0932,-0.3019,-1.8541,-12.6046,0.2085,-2.7311,1.1673,-2.5740,-4.3998,-3.1025,-0.8879,-2.3587,0.0491,-2.4753,-3.2016,-3.4377
27.3438,-3.1307,-5.0431,-3.4103,-1.6911,-1.8432,-2.8530,-10.7447,-0.3785,-2.8666,0.2693,-1.2111,-3.1547,-2.8567,-1.8475,-1.5798,1.0953,-1.2670,-2.7295,-3.6745
31.2500,-2.4273,-5.1014,-2.1029,-1.8209,-3.1402,-3.2034,-4.6240,-0.8303,-2.9054,-0.7883,-0.9238,-1.4965,-2.0289,-2.6474,-1.1060,0.7480,-0.4181,-1.5568,-3.4450
35.1562,-1.1391,-4.2422,0.1801,-1.3935,-3.8040,-2.9576,2.5577,-1.0166,-2.9770,-1.6078,-2.1147,0.2258,-0.7803,-3.0849,-1.1433,0.1108,-0.0089,-0.0376,-2.6796
39.0625,0.0918,-3.0812,2.4554,-0.4147,-3.5759,-2.3185,6.7754,-0.8879,-2.9235,-1.7965,-4.0409,1.8092,0.7442,-2.9613,-1.4541,0.5156,0.2476,1.5015,-1.2761
42.9688,0.8278,-2.0590,4.1100,1.0966,-2.3712,-1.5131,5.6637,-0.4480,-2.4067,-1.2353,-5.2562,3.2425,2.5131,-2.0776,-1.5035,2.5255,0.8023,2.9424,0.8628
46.8750,1.0891,-1.2112,5.2313,3.1333,-0.3067,-0.6982,0.0633,0.2848,-1.1753,-0.2143,-4.5316,4.6299,4.5777,-0.3032,-0.8349,5.4520,1.9651,4.3946,3.7074
50.7812,1.2589,-0.2561,6.4066,5.6349,2.2867,0.0395,-6.4521,1.2889,0.6986,0.6885,-1.6411,6.0574,6.9378,2.2827,0.5560,7.7248,3.6873,6.0486,6.9827
54.6875,1.7102,1.0831,8.1645,8.3857,4.8970,0.6077,-9.8148,2.5131,2.7884,0.9363,2.4951,7.4907,9.4112,5.2711,2.1024,7.8753,5.5607,7.9715,10.1651
58.5938,2.4395,2.7579,10.4777,10.9773,6.9470,0.8479,-8.0061,3.8380,4.5133,0.3677,6.3606,8.7596,11.6174,7.9521,2.9167,5.4832,7.0229,9.9840,12.6448
62.5000,2.9991,4.3041,12.6763,12.8998,7.9826,0.5675,-2.2386,5.0683,5.4289,-0.6935,8.6744,9.6221,13.1080,9.5509,2.2901,1.4724,7.6403,11.6967,13.9841
66.4062,2.7965,5.0443,13.8173,13.7357,7.8595,-0.3367,3.9591,5.9767,5.4086,-1.6474,8.9473,9.8531,13.5679,9.5829,0.1486,-2.4166,7.2993,12.6678,14.1188
70.3125,1.5461,4.4528,13.2369,13.3430,6.8181,-1.7566,7.0688,6.3801,4.6061,-2.0179,7.4586,9.3089,12.9600,8.1244,-2.8299,-4.6209,6.2136,12.5755,13.3646
74.2188,-0.4682,2.4571,10.9202,11.9122,5.3787,-3.3649,5.7338,6.2037,3.2591,-1.7757,4.7966,7.9543,11.5204,5.8041,-5.5361,-4.5826,4.7637,11.3099,12.2109
78.1250,-2.5331,-0.4882,7.4878,9.8620,4.0910,-4.7553,1.3604,5.4946,1.5128,-1.3525,1.3951,5.8754,9.6162,3.4812,-7.0183,-2.9296,3.2847,8.9722,11.0308
82.0312,-3.9556,-3.5727,3.8744,7.6468,3.2729,-5.6463,-3.0823,4.3880,-0.5854,-1.3252,-2.5568,3.3008,7.5677,1.7855,-6.9881,-0.9610,1.9279,5.8395,9.8980
85.9375,-4.4971,-5.9343,0.9465,5.6021,2.8972,-6.0051,-5.1019,3.0624,-2.9206,-1.9817,-6.8093,0.6185,5.5542,0.8115,-5.9322,0.1789,0.6639,2.3535,8.6403
89.8438,-4.4703,-6.9519,-0.7327,3.9147,2.6970,-6.0006,-4.1481,1.7203,-5.1321,-3.0745,-10.6803,-1.6607,3.6551,0.1758,-4.7606,0.1157,-0.5958,-0.8788,7.0896
93.7500,-4.4312,-6.4380,-0.9593,2.6981,2.4192,-5.8262,-1.6312,0.5938,-6.6214,-3.9486,-13.0328,-3.0313,1.9710,-0.5928,-4.2141,-0.6819,-1.8505,-3.1570,5.3461
97.6562,-4.7084,-4.7078,0.1283,2.0700,2.0487,-5.5384,0.3111,-0.0661,-6.8157,-3.9761,-12.7588,-3.1917,0.7143,-1.5994,-4.4147,-1.3314,-2.9302,-3.8994,3.8465
101.5625,-5.1310,-2.5218,2.0452,2.1354,1.8430,-5.0484,0.3027,-0.0582,-5.5574,-3.0100,-9.5210,-2.2161,0.1790,-2.3983,-4.8431,-1.1335,-3.5323,-2.9538,3.1574
