Time,Fp1,F3,C3,P3,O1,F7,T3,T5,Fz,Fp2,F4,C4,P4,O2,F8,T4,T6,Cz,Pz
0.0000,-22.6136,-7.9607,-6.6677,-3.2565,-1.5965,-11.0142,-4.4011,-2.1030,-8.0594,-21.1588,-8.3056,-2.8134,-0.9131,-1.0739,-13.7228,-13.6787,-4.1287,-4.0633,-1.3242
3.9062,-26.3634,-9.3589,-8.1857,-3.5685,-1.4834,-12.7524,-4.6508,-1.8057,-9.6634,-24.0325,-10.7616,-4.0807,-1.7563,-0.7750,-15.9080,-12.0554,-4.9509,-4.9970,-2.3578
7.8125,-30.1268,-10.4635,-8.7346,-2.6756,-0.0589,-14.3281,-3.6803,-0.3625,-10.5851,-26.3231,-13.6044,-5.8455,-3.3569,0.4762,-17.6383,-6.7901,-4.7802,-4.9785,-3.2084
11.7188,-33.4718,-10.9761,-7.4119,-0.4682,2.7405,-15.3805,-1.3861,1.9595,-10.2979,-27.7431,-15.9476,-7.5810,-5.2689,2.5932,-18.3602,2.2530,-3.2237,-3.6996,-3.1717
15.6250,-36.0038,-10.7549,-3.8866,2.5557,6.2107,-15.7764,1.5131,4.3014,-8.8498,-28.3252,-16.8074,-8.3894,-6.5654,5.0074,-17.7047,13.3849,-0.4750,-1.4831,-1.7332
19.5312,-37.1605,-9.7800,1.3236,5.5739,9.1711,-15.6148,3.7672,5.6970,-6.8460,-28.0893,-15.5473,-7.4118,-6.3040,6.9534,-15.5492,23.4636,2.7552,0.8807,1.0910
23.4375,-36.3792,-8.1833,6.8902,7.8712,10.5745,-15.1597,4.2926,5.6582,-5.1631,-26.9526,-12.3452,-4.4452,-4.1771,7.8794,-12.1997,29.0599,5.5489,2.5489,4.6187
27.3438,-33.7293,-6.3813,11.0352,9.1030,10.0529,-14.7770,2.8490,4.4477,-4.5996,-25.1058,-8.4114,-0.3771,-0.9214,7.7060,-8.6222,27.9118,7.1275,3.0022,7.6759
31.2500,-30.5299,-5.1614,12.1328,9.2417,8.0595,-14.8824,0.2375,2.8491,-5.6287,-23.5339,-5.6949,2.9695,1.8764,6.7706,-6.4181,20.0063,7.0656,2.1658,9.0427
35.1562,-29.1900,-5.4898,9.3870,8.3359,5.5511,-15.8280,-2.1375,1.6111,-8.2712,-24.0059,-6.0277,3.6798,2.5945,5.5368,-7.2442,7.7953,5.3477,0.2868,7.9988
39.0625,-31.9100,-7.9608,3.3447,6.3698,3.4557,-17.6646,-3.0713,0.9802,-12.0058,-28.1084,-10.0221,0.9090,0.5963,4.3102,-11.7557,-4.5750,2.3513,-2.2275,4.7290
42.9688,-38.8057,-12.1461,-4.0319,3.4023,2.2819,-19.8572,-2.2016,0.6598,-15.7007,-35.7046,-16.3319,-4.3320,-3.1817,3.1715,-18.6660,-12.7395,-1.1757,-4.8319,0.3764
46.8750,-46.7964,-16.3430,-9.9227,-0.1180,2.0713,-21.1922,-0.0781,0.2017,-17.7099,-43.9488,-21.8629,-9.3565,-6.5254,2.1380,-24.7377,-13.7432,-4.1837,-6.7478,-3.3292
50.7812,-50.4691,-18.1156,-11.7538,-3.1869,2.6217,-20.1245,2.3429,-0.4944,-16.3274,-47.9731,-23.0730,-11.0139,-7.0631,1.3649,-26.1150,-7.2034,-5.5496,-6.9672,-4.7500
54.6875,-44.9537,-15.5307,-8.4127,-4.4993,3.7346,-15.5746,4.3737,-0.9756,-10.5993,-43.3669,-17.8324,-7.3550,-3.6139,1.1726,-20.5133,4.4678,-4.4942,-4.5606,-3.0422
58.5938,-29.2909,-8.4305,-0.9333,-3.0856,5.2832,-7.8077,5.9347,-0.4990,-1.1405,-29.1733,-6.8352,1.1714,3.0309,1.8455,-8.9906,16.9251,-1.0368,0.7602,1.4493
62.5000,-8.0148,1.1224,7.8419,1.0428,7.0964,1.2087,7.3344,1.4146,9.6214,-9.3729,6.3549,11.7049,10.3892,3.3608,4.0105,25.5626,3.8099,8.1596,7.3113
66.4062,10.5377,9.6840,14.5768,6.6917,8.8287,8.4107,8.7201,4.5307,18.1755,8.5295,16.8399,20.2027,15.5030,5.2844,12.7333,27.3540,8.3256,15.6908,12.6484
70.3125,18.6203,14.1919,17.0761,11.9214,9.9842,11.0881,9.6953,7.8686,21.4624,17.3845,20.7668,23.2752,16.3926,6.9429,13.2761,22.0755,10.7968,20.9605,15.8452
74.2188,13.6229,13.6070,15.2874,14.8961,10.1088,8.4198,9.4692,10.1138,18.4354,14.5041,17.2317,19.6678,12.9232,7.7589,5.9487,12.3319,10.3008,22.1661,16.1194
78.1250,-0.2230,9.3670,11.0481,14.6492,9.0080,2.1060,7.4647,10.2200,10.6847,3.3024,8.5920,10.6776,6.6369,7.4990,-4.7851,2.3290,7.1039,18.9321,13.6186
82.0312,-14.3396,4.3197,6.7343,11.3479,6.8233,-4.4595,3.9084,7.8642,1.6374,-8.8017,-0.9968,-0.5958,-0.2511,6.2651,-12.9139,-4.0582,2.4388,12.4463,9.0981
